丟	丢
並	并
亙	亘
佇	伫
佔	占
併	并
侶	侣
俁	俣
倖	幸
傑	杰
傯	偬
僱	雇
兇	凶
兌	兑
兗	兖
內	内
冊	册
冑	胄
凈	净
凜	凛
別	别
刪	删
剎	刹
剝	剥
剷	鏟
勳	勛
勻	匀
卹	恤
卻	却
只	衹
吳	吴
吶	呐
呂	吕
唸	念
喚	唤
噓	嘘
嚐	嘗
嚥	咽
囪	囱
塚	冢
夠	够
奐	奂
奧	奥
妳	你
姍	姗
姦	奸
姪	侄
娛	娱
媼	媪
嫺	嫻
嬤	嬷
宮	宫
屆	届
屍	尸
屜	屉
峯	峰
崑	昆
崙	侖
崢	峥
嶽	岳
巖	岩
幷	并
廁	厠
廂	厢
廈	厦
廚	厨
廝	厮
弒	弑
弔	吊
強	强
彥	彦
彷	彷 仿
彿	佛
恆	恒
恥	耻
悅	悦
悞	悮
悽	凄
愨	慤
慄	栗
慍	愠
慼	戚
慾	欲
懍	懔
戩	戬
戶	户
拋	抛
挩	捝
掙	挣
掛	挂
採	采
換	换
搖	摇
搵	揾
撐	撑
攜	携
敓	敚
敘	叙
於	于 於
晉	晋
朮	术
杴	鍁
枴	拐
柵	栅
柺	拐
桿	杆
梔	栀
梲	棁
棄	弃
棲	栖
榲	榅
槓	杠
槨	椁
橫	横
櫥	橱
櫺	欞
歿	殁
殼	殻
毀	毁
氳	氲
氾	泛
決	决
沒	没
沖	冲
況	况
洶	汹
涗	涚
涼	凉
淒	凄
淚	泪
淥	渌
淨	浄
渙	涣
減	减
湊	凑
溫	温
溼	濕
滾	滚
漵	溆
潛	潜
灩	灧
災	灾
煙	烟
煥	焕
熅	煴
燉	炖
燻	熏
爭	争
牀	床
牆	墻
牠	它
牴	抵
犛	牦
猙	狰
獎	奬
琺	珐
瑤	瑶
甕	瓮
產	産
甦	蘇
異	异
疊	叠
痲	麻
瘉	愈
瘓	痪
癒	愈
癡	痴
皁	皂
皰	疱
盃	杯
盜	盗
盪	蕩
睜	睁
瞇	眯
祕	秘
祿	禄
禿	秃
稅	税
稈	秆
稜	棱
稟	禀
窯	窑
筍	笋
箏	筝
粵	粤
糉	粽
紮	扎
絃	弦
絕	絶
綠	緑
綵	彩
線	綫
縕	緼
繃	綳
繡	綉
缽	鉢
罈	罎
罵	駡
羋	芈
羣	群
羨	羡
羶	膻
脈	脉
脣	唇
脫	脱
腳	脚
膃	腽
臥	卧
茲	兹
荊	荆
菴	庵
菸	烟
菸	煙
蒐	搜
蒕	蒀
蒞	莅
蓆	席
蔥	葱
蘊	藴
虛	虚
蛻	蜕
蝨	虱
蠍	蝎
蠔	蚝
袞	衮
覈	核
託	托
註	注
詠	咏
誌	志
說	説
諡	謚
謠	謡
譁	嘩
譭	毁
譾	謭
讚	贊
豎	竪
豔	艷
豬	猪
貍	狸
貓	猫
贓	贜
贗	贋
跡	迹
跼	局
踊	踴
蹟	迹
蹤	踪
輓	挽
轀	輼
週	周
遊	游
遙	遥
醃	腌
醞	醖
釐	厘
釦	扣
鉤	鈎
銳	鋭
錄	録
鍊	煉 鏈
鏚	戚
鏽	銹
鐗	鐧
鐫	鎸
鑑	鑒
閒	閑
閱	閲
雋	隽
雞	鷄
霢	霡
靜	静
靦	腼
韻	韵
頹	頽
顏	顔
餬	糊
餵	喂
鬨	哄
鯗	鮝
鰮	鰛
鱷	鰐
鳧	鳬
鶿	鷀
鷳	鷴
麪	麵
麼	麽
黃	黄
鼴	鼹
齎	賫
齧	嚙
