丢	丟
并	並 併 幷
亘	亙
伫	佇
占	佔
侣	侶
俣	俁
幸	倖
杰	傑
偬	傯
雇	僱
凶	兇
兑	兌
兖	兗
内	內
册	冊
胄	冑
净	凈
凛	凜
别	別
删	刪
刹	剎
剥	剝
鏟	剷
勛	勳
匀	勻
恤	卹
却	卻
衹	只
吴	吳
呐	吶
吕	呂
念	唸
唤	喚
嘘	噓
嘗	嚐
咽	嚥
囱	囪
冢	塚
够	夠
奂	奐
奥	奧
你	妳
姗	姍
奸	姦
侄	姪
娱	娛
媪	媼
嫻	嫺
嬷	嬤
宫	宮
届	屆
尸	屍
屉	屜
峰	峯
昆	崑
侖	崙
峥	崢
岳	嶽
岩	巖
厠	廁
厢	廂
厦	廈
厨	廚
厮	廝
弑	弒
吊	弔
强	強
彦	彥
仿	彷
佛	彿
恒	恆
耻	恥
悦	悅
悮	悞
凄	悽 淒
慤	愨
栗	慄
愠	慍
戚	慼 鏚
欲	慾
懔	懍
戬	戩
户	戶
抛	拋
捝	挩
挣	掙
挂	掛
采	採
换	換
摇	搖
揾	搵
撑	撐
携	攜
敚	敓
叙	敘
于	於
晋	晉
术	朮
鍁	杴
拐	枴 柺
栅	柵
杆	桿
栀	梔
棁	梲
弃	棄
栖	棲
榅	榲
杠	槓
椁	槨
横	橫
橱	櫥
欞	櫺
殁	歿
殻	殼
毁	毀 譭
氲	氳
泛	氾
决	決
没	沒
冲	沖
况	況
汹	洶
涚	涗
凉	涼
泪	淚
渌	淥
浄	淨
涣	渙
减	減
凑	湊
温	溫
濕	溼
滚	滾
溆	漵
潜	潛
灧	灩
灾	災
烟	煙 菸
焕	煥
煴	熅
炖	燉
熏	燻
争	爭
床	牀
墻	牆
它	牠
抵	牴
牦	犛
狰	猙
奬	獎
珐	琺
瑶	瑤
瓮	甕
産	產
蘇	甦
异	異
叠	疊
麻	痲
愈	癒 瘉
痪	瘓
痴	癡
皂	皁
疱	皰
杯	盃
盗	盜
蕩	盪
睁	睜
眯	瞇
秘	祕
禄	祿
秃	禿
税	稅
秆	稈
棱	稜
禀	稟
窑	窯
笋	筍
筝	箏
粤	粵
粽	糉
扎	紮
弦	絃
絶	絕
緑	綠
彩	綵
綫	線
緼	縕
綳	繃
綉	繡
鉢	缽
罎	罈
駡	罵
芈	羋
群	羣
羡	羨
膻	羶
脉	脈
唇	脣
脱	脫
脚	腳
腽	膃
卧	臥
兹	茲
荆	荊
庵	菴
煙	菸
搜	蒐
蒀	蒕
莅	蒞
席	蓆
葱	蔥
藴	蘊
虚	虛
蜕	蛻
虱	蝨
蝎	蠍
蚝	蠔
衮	袞
核	覈
托	託
注	註
咏	詠
志	誌
説	說
謚	諡
謡	謠
嘩	譁
謭	譾
贊	讚
竪	豎
艷	豔
猪	豬
狸	貍
猫	貓
贜	贓
贋	贗
迹	跡 蹟
局	跼
踴	踊
踪	蹤
挽	輓
輼	轀
周	週
游	遊
遥	遙
腌	醃
醖	醞
厘	釐
扣	釦
鈎	鉤
鋭	銳
録	錄
煉	鍊
鏈	鍊
銹	鏽
鐧	鐗
鎸	鐫
鑒	鑑
閑	閒
閲	閱
隽	雋
鷄	雞
霡	霢
静	靜
腼	靦
韵	韻
頽	頹
顔	顏
糊	餬
喂	餵
哄	鬨
鮝	鯗
鰛	鰮
鰐	鱷
鳬	鳧
鷀	鶿
鷴	鷳
麵	麪
麽	麼
黄	黃
鼹	鼴
賫	齎
嚙	齧
